id,input_path,encoded_path,discrimination
10000,BigDataCup2022/S1/test/input/10000.jpg,BigDataCup2022/S1/test/enc/10000.jpg,0
10001,BigDataCup2022/S1/test/input/10001.jpg,BigDataCup2022/S1/test/enc/10001.jpg,0
10002,BigDataCup2022/S1/test/input/10002.jpg,BigDataCup2022/S1/test/enc/10002.jpg,0
10003,BigDataCup2022/S1/test/input/10003.jpg,BigDataCup2022/S1/test/enc/10003.jpg,0
10004,BigDataCup2022/S1/test/input/10004.jpg,BigDataCup2022/S1/test/enc/10004.jpg,1
10005,BigDataCup2022/S1/test/input/10005.jpg,BigDataCup2022/S1/test/enc/10005.jpg,0
10006,BigDataCup2022/S1/test/input/10006.jpg,BigDataCup2022/S1/test/enc/10006.jpg,0
10007,BigDataCup2022/S1/test/input/10007.jpg,BigDataCup2022/S1/test/enc/10007.jpg,0
10008,BigDataCup2022/S1/test/input/10008.jpg,BigDataCup2022/S1/test/enc/10008.jpg,0
10009,BigDataCup2022/S1/test/input/10009.jpg,BigDataCup2022/S1/test/enc/10009.jpg,0
10010,BigDataCup2022/S1/test/input/10010.jpg,BigDataCup2022/S1/test/enc/10010.jpg,0
10011,BigDataCup2022/S1/test/input/10011.jpg,BigDataCup2022/S1/test/enc/10011.jpg,0
10012,BigDataCup2022/S1/test/input/10012.jpg,BigDataCup2022/S1/test/enc/10012.jpg,0
10013,BigDataCup2022/S1/test/input/10013.jpg,BigDataCup2022/S1/test/enc/10013.jpg,1
10014,BigDataCup2022/S1/test/input/10014.jpg,BigDataCup2022/S1/test/enc/10014.jpg,1
10015,BigDataCup2022/S1/test/input/10015.jpg,BigDataCup2022/S1/test/enc/10015.jpg,1
10016,BigDataCup2022/S1/test/input/10016.jpg,BigDataCup2022/S1/test/enc/10016.jpg,1
10017,BigDataCup2022/S1/test/input/10017.jpg,BigDataCup2022/S1/test/enc/10017.jpg,0
10018,BigDataCup2022/S1/test/input/10018.jpg,BigDataCup2022/S1/test/enc/10018.jpg,1
10019,BigDataCup2022/S1/test/input/10019.jpg,BigDataCup2022/S1/test/enc/10019.jpg,0
10020,BigDataCup2022/S1/test/input/10020.jpg,BigDataCup2022/S1/test/enc/10020.jpg,0
10021,BigDataCup2022/S1/test/input/10021.jpg,BigDataCup2022/S1/test/enc/10021.jpg,1
10022,BigDataCup2022/S1/test/input/10022.jpg,BigDataCup2022/S1/test/enc/10022.jpg,0
10023,BigDataCup2022/S1/test/input/10023.jpg,BigDataCup2022/S1/test/enc/10023.jpg,0
10024,BigDataCup2022/S1/test/input/10024.jpg,BigDataCup2022/S1/test/enc/10024.jpg,1
10025,BigDataCup2022/S1/test/input/10025.jpg,BigDataCup2022/S1/test/enc/10025.jpg,1
10026,BigDataCup2022/S1/test/input/10026.jpg,BigDataCup2022/S1/test/enc/10026.jpg,1
10027,BigDataCup2022/S1/test/input/10027.jpg,BigDataCup2022/S1/test/enc/10027.jpg,0
10028,BigDataCup2022/S1/test/input/10028.jpg,BigDataCup2022/S1/test/enc/10028.jpg,1
10029,BigDataCup2022/S1/test/input/10029.jpg,BigDataCup2022/S1/test/enc/10029.jpg,0
10030,BigDataCup2022/S1/test/input/10030.jpg,BigDataCup2022/S1/test/enc/10030.jpg,0
10031,BigDataCup2022/S1/test/input/10031.jpg,BigDataCup2022/S1/test/enc/10031.jpg,1
10032,BigDataCup2022/S1/test/input/10032.jpg,BigDataCup2022/S1/test/enc/10032.jpg,0
10033,BigDataCup2022/S1/test/input/10033.jpg,BigDataCup2022/S1/test/enc/10033.jpg,0
10034,BigDataCup2022/S1/test/input/10034.jpg,BigDataCup2022/S1/test/enc/10034.jpg,1
10035,BigDataCup2022/S1/test/input/10035.jpg,BigDataCup2022/S1/test/enc/10035.jpg,1
10036,BigDataCup2022/S1/test/input/10036.jpg,BigDataCup2022/S1/test/enc/10036.jpg,0
10037,BigDataCup2022/S1/test/input/10037.jpg,BigDataCup2022/S1/test/enc/10037.jpg,1
10038,BigDataCup2022/S1/test/input/10038.jpg,BigDataCup2022/S1/test/enc/10038.jpg,0
10039,BigDataCup2022/S1/test/input/10039.jpg,BigDataCup2022/S1/test/enc/10039.jpg,1
10040,BigDataCup2022/S1/test/input/10040.jpg,BigDataCup2022/S1/test/enc/10040.jpg,1
10041,BigDataCup2022/S1/test/input/10041.jpg,BigDataCup2022/S1/test/enc/10041.jpg,1
10042,BigDataCup2022/S1/test/input/10042.jpg,BigDataCup2022/S1/test/enc/10042.jpg,1
10043,BigDataCup2022/S1/test/input/10043.jpg,BigDataCup2022/S1/test/enc/10043.jpg,1
10044,BigDataCup2022/S1/test/input/10044.jpg,BigDataCup2022/S1/test/enc/10044.jpg,0
10045,BigDataCup2022/S1/test/input/10045.jpg,BigDataCup2022/S1/test/enc/10045.jpg,1
10046,BigDataCup2022/S1/test/input/10046.jpg,BigDataCup2022/S1/test/enc/10046.jpg,1
10047,BigDataCup2022/S1/test/input/10047.jpg,BigDataCup2022/S1/test/enc/10047.jpg,1
10048,BigDataCup2022/S1/test/input/10048.jpg,BigDataCup2022/S1/test/enc/10048.jpg,1
10049,BigDataCup2022/S1/test/input/10049.jpg,BigDataCup2022/S1/test/enc/10049.jpg,0
10050,BigDataCup2022/S1/test/input/10050.jpg,BigDataCup2022/S1/test/enc/10050.jpg,1
10051,BigDataCup2022/S1/test/input/10051.jpg,BigDataCup2022/S1/test/enc/10051.jpg,0
10052,BigDataCup2022/S1/test/input/10052.jpg,BigDataCup2022/S1/test/enc/10052.jpg,0
10053,BigDataCup2022/S1/test/input/10053.jpg,BigDataCup2022/S1/test/enc/10053.jpg,0
10054,BigDataCup2022/S1/test/input/10054.jpg,BigDataCup2022/S1/test/enc/10054.jpg,0
10055,BigDataCup2022/S1/test/input/10055.jpg,BigDataCup2022/S1/test/enc/10055.jpg,0
10056,BigDataCup2022/S1/test/input/10056.jpg,BigDataCup2022/S1/test/enc/10056.jpg,1
10057,BigDataCup2022/S1/test/input/10057.jpg,BigDataCup2022/S1/test/enc/10057.jpg,1
10058,BigDataCup2022/S1/test/input/10058.jpg,BigDataCup2022/S1/test/enc/10058.jpg,0
10059,BigDataCup2022/S1/test/input/10059.jpg,BigDataCup2022/S1/test/enc/10059.jpg,0
10060,BigDataCup2022/S1/test/input/10060.jpg,BigDataCup2022/S1/test/enc/10060.jpg,1
10061,BigDataCup2022/S1/test/input/10061.jpg,BigDataCup2022/S1/test/enc/10061.jpg,0
10062,BigDataCup2022/S1/test/input/10062.jpg,BigDataCup2022/S1/test/enc/10062.jpg,1
10063,BigDataCup2022/S1/test/input/10063.jpg,BigDataCup2022/S1/test/enc/10063.jpg,0
10064,BigDataCup2022/S1/test/input/10064.jpg,BigDataCup2022/S1/test/enc/10064.jpg,0
10065,BigDataCup2022/S1/test/input/10065.jpg,BigDataCup2022/S1/test/enc/10065.jpg,0
10066,BigDataCup2022/S1/test/input/10066.jpg,BigDataCup2022/S1/test/enc/10066.jpg,0
10067,BigDataCup2022/S1/test/input/10067.jpg,BigDataCup2022/S1/test/enc/10067.jpg,0
10068,BigDataCup2022/S1/test/input/10068.jpg,BigDataCup2022/S1/test/enc/10068.jpg,1
10069,BigDataCup2022/S1/test/input/10069.jpg,BigDataCup2022/S1/test/enc/10069.jpg,0
10070,BigDataCup2022/S1/test/input/10070.jpg,BigDataCup2022/S1/test/enc/10070.jpg,0
10071,BigDataCup2022/S1/test/input/10071.jpg,BigDataCup2022/S1/test/enc/10071.jpg,0
10072,BigDataCup2022/S1/test/input/10072.jpg,BigDataCup2022/S1/test/enc/10072.jpg,0
10073,BigDataCup2022/S1/test/input/10073.jpg,BigDataCup2022/S1/test/enc/10073.jpg,0
10074,BigDataCup2022/S1/test/input/10074.jpg,BigDataCup2022/S1/test/enc/10074.jpg,1
10075,BigDataCup2022/S1/test/input/10075.jpg,BigDataCup2022/S1/test/enc/10075.jpg,0
10076,BigDataCup2022/S1/test/input/10076.jpg,BigDataCup2022/S1/test/enc/10076.jpg,0
10077,BigDataCup2022/S1/test/input/10077.jpg,BigDataCup2022/S1/test/enc/10077.jpg,1
10078,BigDataCup2022/S1/test/input/10078.jpg,BigDataCup2022/S1/test/enc/10078.jpg,1
10079,BigDataCup2022/S1/test/input/10079.jpg,BigDataCup2022/S1/test/enc/10079.jpg,1
10080,BigDataCup2022/S1/test/input/10080.jpg,BigDataCup2022/S1/test/enc/10080.jpg,0
10081,BigDataCup2022/S1/test/input/10081.jpg,BigDataCup2022/S1/test/enc/10081.jpg,1
10082,BigDataCup2022/S1/test/input/10082.jpg,BigDataCup2022/S1/test/enc/10082.jpg,1
10083,BigDataCup2022/S1/test/input/10083.jpg,BigDataCup2022/S1/test/enc/10083.jpg,1
10084,BigDataCup2022/S1/test/input/10084.jpg,BigDataCup2022/S1/test/enc/10084.jpg,1
10085,BigDataCup2022/S1/test/input/10085.jpg,BigDataCup2022/S1/test/enc/10085.jpg,1
10086,BigDataCup2022/S1/test/input/10086.jpg,BigDataCup2022/S1/test/enc/10086.jpg,1
10087,BigDataCup2022/S1/test/input/10087.jpg,BigDataCup2022/S1/test/enc/10087.jpg,0
10088,BigDataCup2022/S1/test/input/10088.jpg,BigDataCup2022/S1/test/enc/10088.jpg,1
10089,BigDataCup2022/S1/test/input/10089.jpg,BigDataCup2022/S1/test/enc/10089.jpg,1
10090,BigDataCup2022/S1/test/input/10090.jpg,BigDataCup2022/S1/test/enc/10090.jpg,1
