id,input_path,encoded_path,ranking
30000,BigDataCup2022/S2/test/input/30000.jpg,BigDataCup2022/S2/test/enc/30000.jpg,8536
30001,BigDataCup2022/S2/test/input/30001.jpg,BigDataCup2022/S2/test/enc/30001.jpg,2167
30002,BigDataCup2022/S2/test/input/30002.jpg,BigDataCup2022/S2/test/enc/30002.jpg,2128
30003,BigDataCup2022/S2/test/input/30003.jpg,BigDataCup2022/S2/test/enc/30003.jpg,6647
30004,BigDataCup2022/S2/test/input/30004.jpg,BigDataCup2022/S2/test/enc/30004.jpg,3366
30005,BigDataCup2022/S2/test/input/30005.jpg,BigDataCup2022/S2/test/enc/30005.jpg,925
30006,BigDataCup2022/S2/test/input/30006.jpg,BigDataCup2022/S2/test/enc/30006.jpg,6758
30007,BigDataCup2022/S2/test/input/30007.jpg,BigDataCup2022/S2/test/enc/30007.jpg,5654
30008,BigDataCup2022/S2/test/input/30008.jpg,BigDataCup2022/S2/test/enc/30008.jpg,2845
30009,BigDataCup2022/S2/test/input/30009.jpg,BigDataCup2022/S2/test/enc/30009.jpg,4591
30010,BigDataCup2022/S2/test/input/30010.jpg,BigDataCup2022/S2/test/enc/30010.jpg,9448
30011,BigDataCup2022/S2/test/input/30011.jpg,BigDataCup2022/S2/test/enc/30011.jpg,4699
30012,BigDataCup2022/S2/test/input/30012.jpg,BigDataCup2022/S2/test/enc/30012.jpg,4448
30013,BigDataCup2022/S2/test/input/30013.jpg,BigDataCup2022/S2/test/enc/30013.jpg,734
30014,BigDataCup2022/S2/test/input/30014.jpg,BigDataCup2022/S2/test/enc/30014.jpg,3975
30015,BigDataCup2022/S2/test/input/30015.jpg,BigDataCup2022/S2/test/enc/30015.jpg,683
30016,BigDataCup2022/S2/test/input/30016.jpg,BigDataCup2022/S2/test/enc/30016.jpg,9261
30017,BigDataCup2022/S2/test/input/30017.jpg,BigDataCup2022/S2/test/enc/30017.jpg,7610
30018,BigDataCup2022/S2/test/input/30018.jpg,BigDataCup2022/S2/test/enc/30018.jpg,4917
30019,BigDataCup2022/S2/test/input/30019.jpg,BigDataCup2022/S2/test/enc/30019.jpg,4906
30020,BigDataCup2022/S2/test/input/30020.jpg,BigDataCup2022/S2/test/enc/30020.jpg,8685
30021,BigDataCup2022/S2/test/input/30021.jpg,BigDataCup2022/S2/test/enc/30021.jpg,9720
30022,BigDataCup2022/S2/test/input/30022.jpg,BigDataCup2022/S2/test/enc/30022.jpg,7997
30023,BigDataCup2022/S2/test/input/30023.jpg,BigDataCup2022/S2/test/enc/30023.jpg,6327
30024,BigDataCup2022/S2/test/input/30024.jpg,BigDataCup2022/S2/test/enc/30024.jpg,4276
30025,BigDataCup2022/S2/test/input/30025.jpg,BigDataCup2022/S2/test/enc/30025.jpg,6836
30026,BigDataCup2022/S2/test/input/30026.jpg,BigDataCup2022/S2/test/enc/30026.jpg,5978
30027,BigDataCup2022/S2/test/input/30027.jpg,BigDataCup2022/S2/test/enc/30027.jpg,6608
30028,BigDataCup2022/S2/test/input/30028.jpg,BigDataCup2022/S2/test/enc/30028.jpg,458
30029,BigDataCup2022/S2/test/input/30029.jpg,BigDataCup2022/S2/test/enc/30029.jpg,6392
30030,BigDataCup2022/S2/test/input/30030.jpg,BigDataCup2022/S2/test/enc/30030.jpg,7548
30031,BigDataCup2022/S2/test/input/30031.jpg,BigDataCup2022/S2/test/enc/30031.jpg,9228
30032,BigDataCup2022/S2/test/input/30032.jpg,BigDataCup2022/S2/test/enc/30032.jpg,5496
30033,BigDataCup2022/S2/test/input/30033.jpg,BigDataCup2022/S2/test/enc/30033.jpg,1192
30034,BigDataCup2022/S2/test/input/30034.jpg,BigDataCup2022/S2/test/enc/30034.jpg,8924
30035,BigDataCup2022/S2/test/input/30035.jpg,BigDataCup2022/S2/test/enc/30035.jpg,8358
30036,BigDataCup2022/S2/test/input/30036.jpg,BigDataCup2022/S2/test/enc/30036.jpg,634
30037,BigDataCup2022/S2/test/input/30037.jpg,BigDataCup2022/S2/test/enc/30037.jpg,8989
30038,BigDataCup2022/S2/test/input/30038.jpg,BigDataCup2022/S2/test/enc/30038.jpg,4134
30039,BigDataCup2022/S2/test/input/30039.jpg,BigDataCup2022/S2/test/enc/30039.jpg,7208
30040,BigDataCup2022/S2/test/input/30040.jpg,BigDataCup2022/S2/test/enc/30040.jpg,3076
30041,BigDataCup2022/S2/test/input/30041.jpg,BigDataCup2022/S2/test/enc/30041.jpg,579
30042,BigDataCup2022/S2/test/input/30042.jpg,BigDataCup2022/S2/test/enc/30042.jpg,3283
30043,BigDataCup2022/S2/test/input/30043.jpg,BigDataCup2022/S2/test/enc/30043.jpg,4865
30044,BigDataCup2022/S2/test/input/30044.jpg,BigDataCup2022/S2/test/enc/30044.jpg,5073
30045,BigDataCup2022/S2/test/input/30045.jpg,BigDataCup2022/S2/test/enc/30045.jpg,9851
30046,BigDataCup2022/S2/test/input/30046.jpg,BigDataCup2022/S2/test/enc/30046.jpg,6368
30047,BigDataCup2022/S2/test/input/30047.jpg,BigDataCup2022/S2/test/enc/30047.jpg,9868
30048,BigDataCup2022/S2/test/input/30048.jpg,BigDataCup2022/S2/test/enc/30048.jpg,9405
30049,BigDataCup2022/S2/test/input/30049.jpg,BigDataCup2022/S2/test/enc/30049.jpg,5174
30050,BigDataCup2022/S2/test/input/30050.jpg,BigDataCup2022/S2/test/enc/30050.jpg,1620
30051,BigDataCup2022/S2/test/input/30051.jpg,BigDataCup2022/S2/test/enc/30051.jpg,8773
30052,BigDataCup2022/S2/test/input/30052.jpg,BigDataCup2022/S2/test/enc/30052.jpg,8083
30053,BigDataCup2022/S2/test/input/30053.jpg,BigDataCup2022/S2/test/enc/30053.jpg,3448
30054,BigDataCup2022/S2/test/input/30054.jpg,BigDataCup2022/S2/test/enc/30054.jpg,7566
30055,BigDataCup2022/S2/test/input/30055.jpg,BigDataCup2022/S2/test/enc/30055.jpg,7777
30056,BigDataCup2022/S2/test/input/30056.jpg,BigDataCup2022/S2/test/enc/30056.jpg,4554
30057,BigDataCup2022/S2/test/input/30057.jpg,BigDataCup2022/S2/test/enc/30057.jpg,1832
30058,BigDataCup2022/S2/test/input/30058.jpg,BigDataCup2022/S2/test/enc/30058.jpg,2404
30059,BigDataCup2022/S2/test/input/30059.jpg,BigDataCup2022/S2/test/enc/30059.jpg,6726
30060,BigDataCup2022/S2/test/input/30060.jpg,BigDataCup2022/S2/test/enc/30060.jpg,2746
30061,BigDataCup2022/S2/test/input/30061.jpg,BigDataCup2022/S2/test/enc/30061.jpg,481
30062,BigDataCup2022/S2/test/input/30062.jpg,BigDataCup2022/S2/test/enc/30062.jpg,6162
30063,BigDataCup2022/S2/test/input/30063.jpg,BigDataCup2022/S2/test/enc/30063.jpg,3680
30064,BigDataCup2022/S2/test/input/30064.jpg,BigDataCup2022/S2/test/enc/30064.jpg,4601
30065,BigDataCup2022/S2/test/input/30065.jpg,BigDataCup2022/S2/test/enc/30065.jpg,3562
30066,BigDataCup2022/S2/test/input/30066.jpg,BigDataCup2022/S2/test/enc/30066.jpg,3294
30067,BigDataCup2022/S2/test/input/30067.jpg,BigDataCup2022/S2/test/enc/30067.jpg,9837
30068,BigDataCup2022/S2/test/input/30068.jpg,BigDataCup2022/S2/test/enc/30068.jpg,3408
30069,BigDataCup2022/S2/test/input/30069.jpg,BigDataCup2022/S2/test/enc/30069.jpg,9815
30070,BigDataCup2022/S2/test/input/30070.jpg,BigDataCup2022/S2/test/enc/30070.jpg,3425
30071,BigDataCup2022/S2/test/input/30071.jpg,BigDataCup2022/S2/test/enc/30071.jpg,9366
30072,BigDataCup2022/S2/test/input/30072.jpg,BigDataCup2022/S2/test/enc/30072.jpg,9838
30073,BigDataCup2022/S2/test/input/30073.jpg,BigDataCup2022/S2/test/enc/30073.jpg,4940
30074,BigDataCup2022/S2/test/input/30074.jpg,BigDataCup2022/S2/test/enc/30074.jpg,4817
30075,BigDataCup2022/S2/test/input/30075.jpg,BigDataCup2022/S2/test/enc/30075.jpg,6931
30076,BigDataCup2022/S2/test/input/30076.jpg,BigDataCup2022/S2/test/enc/30076.jpg,5017
30077,BigDataCup2022/S2/test/input/30077.jpg,BigDataCup2022/S2/test/enc/30077.jpg,720
30078,BigDataCup2022/S2/test/input/30078.jpg,BigDataCup2022/S2/test/enc/30078.jpg,9363
