id,input_path,encoded_path,distance
30000,BigDataCup2022/S2/test/input/30000.jpg,BigDataCup2022/S2/test/enc/30000.jpg,6.190403
30001,BigDataCup2022/S2/test/input/30001.jpg,BigDataCup2022/S2/test/enc/30001.jpg,0.216134
30002,BigDataCup2022/S2/test/input/30002.jpg,BigDataCup2022/S2/test/enc/30002.jpg,0.895956
30003,BigDataCup2022/S2/test/input/30003.jpg,BigDataCup2022/S2/test/enc/30003.jpg,3.884818
30004,BigDataCup2022/S2/test/input/30004.jpg,BigDataCup2022/S2/test/enc/30004.jpg,0.799767
30005,BigDataCup2022/S2/test/input/30005.jpg,BigDataCup2022/S2/test/enc/30005.jpg,0.554533
30006,BigDataCup2022/S2/test/input/30006.jpg,BigDataCup2022/S2/test/enc/30006.jpg,4.811042
30007,BigDataCup2022/S2/test/input/30007.jpg,BigDataCup2022/S2/test/enc/30007.jpg,3.526561
30008,BigDataCup2022/S2/test/input/30008.jpg,BigDataCup2022/S2/test/enc/30008.jpg,2.497119
30009,BigDataCup2022/S2/test/input/30009.jpg,BigDataCup2022/S2/test/enc/30009.jpg,0.552266
30010,BigDataCup2022/S2/test/input/30010.jpg,BigDataCup2022/S2/test/enc/30010.jpg,7.942552
30011,BigDataCup2022/S2/test/input/30011.jpg,BigDataCup2022/S2/test/enc/30011.jpg,0.231931
30012,BigDataCup2022/S2/test/input/30012.jpg,BigDataCup2022/S2/test/enc/30012.jpg,1.593740
30013,BigDataCup2022/S2/test/input/30013.jpg,BigDataCup2022/S2/test/enc/30013.jpg,0.489735
30014,BigDataCup2022/S2/test/input/30014.jpg,BigDataCup2022/S2/test/enc/30014.jpg,0.945767
30015,BigDataCup2022/S2/test/input/30015.jpg,BigDataCup2022/S2/test/enc/30015.jpg,0.369071
30016,BigDataCup2022/S2/test/input/30016.jpg,BigDataCup2022/S2/test/enc/30016.jpg,6.805483
30017,BigDataCup2022/S2/test/input/30017.jpg,BigDataCup2022/S2/test/enc/30017.jpg,4.009217
30018,BigDataCup2022/S2/test/input/30018.jpg,BigDataCup2022/S2/test/enc/30018.jpg,0.720465
30019,BigDataCup2022/S2/test/input/30019.jpg,BigDataCup2022/S2/test/enc/30019.jpg,0.731246
30020,BigDataCup2022/S2/test/input/30020.jpg,BigDataCup2022/S2/test/enc/30020.jpg,5.168897
30021,BigDataCup2022/S2/test/input/30021.jpg,BigDataCup2022/S2/test/enc/30021.jpg,6.603274
30022,BigDataCup2022/S2/test/input/30022.jpg,BigDataCup2022/S2/test/enc/30022.jpg,5.440664
30023,BigDataCup2022/S2/test/input/30023.jpg,BigDataCup2022/S2/test/enc/30023.jpg,4.705472
30024,BigDataCup2022/S2/test/input/30024.jpg,BigDataCup2022/S2/test/enc/30024.jpg,0.420622
