id,input_path,encoded_path,distance
10000,BigDataCup2022/S1/test/input/10000.jpg,BigDataCup2022/S1/test/enc/10000.jpg,3.579846
10001,BigDataCup2022/S1/test/input/10001.jpg,BigDataCup2022/S1/test/enc/10001.jpg,3.599635
10002,BigDataCup2022/S1/test/input/10002.jpg,BigDataCup2022/S1/test/enc/10002.jpg,3.875447
10003,BigDataCup2022/S1/test/input/10003.jpg,BigDataCup2022/S1/test/enc/10003.jpg,4.581623
10004,BigDataCup2022/S1/test/input/10004.jpg,BigDataCup2022/S1/test/enc/10004.jpg,0.162222
10005,BigDataCup2022/S1/test/input/10005.jpg,BigDataCup2022/S1/test/enc/10005.jpg,0.648019
10006,BigDataCup2022/S1/test/input/10006.jpg,BigDataCup2022/S1/test/enc/10006.jpg,1.264768
10007,BigDataCup2022/S1/test/input/10007.jpg,BigDataCup2022/S1/test/enc/10007.jpg,2.581486
10008,BigDataCup2022/S1/test/input/10008.jpg,BigDataCup2022/S1/test/enc/10008.jpg,0.604751
10009,BigDataCup2022/S1/test/input/10009.jpg,BigDataCup2022/S1/test/enc/10009.jpg,4.441570
10010,BigDataCup2022/S1/test/input/10010.jpg,BigDataCup2022/S1/test/enc/10010.jpg,3.147263
10011,BigDataCup2022/S1/test/input/10011.jpg,BigDataCup2022/S1/test/enc/10011.jpg,0.798589
10012,BigDataCup2022/S1/test/input/10012.jpg,BigDataCup2022/S1/test/enc/10012.jpg,1.130632
10013,BigDataCup2022/S1/test/input/10013.jpg,BigDataCup2022/S1/test/enc/10013.jpg,0.345987
10014,BigDataCup2022/S1/test/input/10014.jpg,BigDataCup2022/S1/test/enc/10014.jpg,0.298780
10015,BigDataCup2022/S1/test/input/10015.jpg,BigDataCup2022/S1/test/enc/10015.jpg,0.158590
10016,BigDataCup2022/S1/test/input/10016.jpg,BigDataCup2022/S1/test/enc/10016.jpg,0.073084
10017,BigDataCup2022/S1/test/input/10017.jpg,BigDataCup2022/S1/test/enc/10017.jpg,0.436495
10018,BigDataCup2022/S1/test/input/10018.jpg,BigDataCup2022/S1/test/enc/10018.jpg,0.083385
10019,BigDataCup2022/S1/test/input/10019.jpg,BigDataCup2022/S1/test/enc/10019.jpg,1.617968
10020,BigDataCup2022/S1/test/input/10020.jpg,BigDataCup2022/S1/test/enc/10020.jpg,1.441452
10021,BigDataCup2022/S1/test/input/10021.jpg,BigDataCup2022/S1/test/enc/10021.jpg,0.104618
10022,BigDataCup2022/S1/test/input/10022.jpg,BigDataCup2022/S1/test/enc/10022.jpg,3.207367
10023,BigDataCup2022/S1/test/input/10023.jpg,BigDataCup2022/S1/test/enc/10023.jpg,4.898290
10024,BigDataCup2022/S1/test/input/10024.jpg,BigDataCup2022/S1/test/enc/10024.jpg,0.144630
10025,BigDataCup2022/S1/test/input/10025.jpg,BigDataCup2022/S1/test/enc/10025.jpg,0.198438
10026,BigDataCup2022/S1/test/input/10026.jpg,BigDataCup2022/S1/test/enc/10026.jpg,0.331793
10027,BigDataCup2022/S1/test/input/10027.jpg,BigDataCup2022/S1/test/enc/10027.jpg,1.985346
10028,BigDataCup2022/S1/test/input/10028.jpg,BigDataCup2022/S1/test/enc/10028.jpg,0.088926
