id,input_path,encoded_path,distance
10000,BigDataCup2022/S1/test/input/10000.jpg,BigDataCup2022/S1/test/enc/10000.jpg,3.411084
10001,BigDataCup2022/S1/test/input/10001.jpg,BigDataCup2022/S1/test/enc/10001.jpg,3.642744
10002,BigDataCup2022/S1/test/input/10002.jpg,BigDataCup2022/S1/test/enc/10002.jpg,3.963717
10003,BigDataCup2022/S1/test/input/10003.jpg,BigDataCup2022/S1/test/enc/10003.jpg,4.443273
10004,BigDataCup2022/S1/test/input/10004.jpg,BigDataCup2022/S1/test/enc/10004.jpg,0.047279
10005,BigDataCup2022/S1/test/input/10005.jpg,BigDataCup2022/S1/test/enc/10005.jpg,0.798273
10006,BigDataCup2022/S1/test/input/10006.jpg,BigDataCup2022/S1/test/enc/10006.jpg,1.595124
10007,BigDataCup2022/S1/test/input/10007.jpg,BigDataCup2022/S1/test/enc/10007.jpg,2.992721
10008,BigDataCup2022/S1/test/input/10008.jpg,BigDataCup2022/S1/test/enc/10008.jpg,0.415036
10009,BigDataCup2022/S1/test/input/10009.jpg,BigDataCup2022/S1/test/enc/10009.jpg,3.787668
10010,BigDataCup2022/S1/test/input/10010.jpg,BigDataCup2022/S1/test/enc/10010.jpg,3.186605
10011,BigDataCup2022/S1/test/input/10011.jpg,BigDataCup2022/S1/test/enc/10011.jpg,0.606631
10012,BigDataCup2022/S1/test/input/10012.jpg,BigDataCup2022/S1/test/enc/10012.jpg,1.685172
10013,BigDataCup2022/S1/test/input/10013.jpg,BigDataCup2022/S1/test/enc/10013.jpg,0.227794
10014,BigDataCup2022/S1/test/input/10014.jpg,BigDataCup2022/S1/test/enc/10014.jpg,0.142478
10015,BigDataCup2022/S1/test/input/10015.jpg,BigDataCup2022/S1/test/enc/10015.jpg,0.190713
10016,BigDataCup2022/S1/test/input/10016.jpg,BigDataCup2022/S1/test/enc/10016.jpg,0.039231
10017,BigDataCup2022/S1/test/input/10017.jpg,BigDataCup2022/S1/test/enc/10017.jpg,0.710767
